altruism,the belief in or practice of selfless concern for the well-being of others
cognition,the mental action or process of acquiring knowledge and understanding through thought, experience, and the senses
euphemism,a mild or indirect word or expression substituted for one considered to be too harsh or blunt
idiosyncrasy,a mode of behavior or way of thought peculiar to an individual
juxtapose,to place or deal with close together for contrasting effect
paradigm,a typical example or pattern of something; a model
philanthropy,the desire to promote the welfare of others, expressed especially by the generous donation of money to good causes
rhetoric,the art of effective or persuasive speaking or writing
ubiquitous,present, appearing, or found everywhere
zeitgeist,the defining spirit or mood of a particular period of history as shown by the ideas and beliefs of the time
