ambiguous,open to more than one interpretation; not having one obvious meaning
dilemma,a situation in which a difficult choice has to be made between two alternatives
empathy,the ability to understand and share the feelings of another
innovation,the introduction of new things, ideas or ways of doing something
negotiate,to try to reach an agreement by discussion
prejudice,preconceived opinion that is not based on reason or actual experience
resilience,the capacity to recover quickly from difficulties
stereotype,a widely held but fixed and oversimplified image or idea of a particular type of person or thing
transparent,allowing light to pass through so that objects behind can be distinctly seen; easy to perceive or detect
versatile,able to adapt or be adapted to many different functions or activities
